 	Attributes	Information Gain
 	Attribute18	0.00012966570192785021
 	Attribute11	0.00022057134927411237
 	Attribute19	0.0012028625910776025
 	Attribute16	0.002395770112591733
 	Attribute17	0.0029403166312881313
 	Attribute10	0.0056743997901600451
 	Attribute14	0.007041506325139113
 	Attribute8	0.0073305000768301154
 	Attribute20	0.0077043865464361261
 	Attribute15	0.011618886823694607
 	Attribute9	0.012746841156174415
 	Attribute13	0.013412980532995777
 	Attribute7	0.014547865230223334
 	Attribute12	0.014905530877295625
 	Attribute5	0.018461146132255801
 	Attribute6	0.022198966052434321
 	Attribute4	0.026897452033083691
 	Attribute2	0.032963429423077617
 	Attribute3	0.037889406221516153
 	Attribute1	0.093827963023455085
